mmsi,vessel_type,composite_score,spatial_score,temporal_score,course_score,mean_distance_km,min_distance_km,n_matches,rank
100000189,tanker,0.5634,0.3268,1.0,0.5,14.65,0.01,49,1
100001372,fishing,0.4,0.0,1.0,0.5,220.15,217.17,49,2
100002341,passenger,0.4,0.0,1.0,0.5,220.15,217.17,49,3
100016372,cargo,0.4,0.0,1.0,0.5,218.69,215.99,49,4
100003458,tanker,0.4,0.0,1.0,0.5,220.15,217.17,49,5
100005512,passenger,0.4,0.0,1.0,0.5,220.15,217.17,49,6
100004439,cargo,0.4,0.0,1.0,0.5,218.69,215.99,49,7
100006472,cargo,0.4,0.0,1.0,0.5,218.64,215.99,49,8
100008644,cargo,0.4,0.0,1.0,0.5,196.65,185.22,49,9
100007841,cargo,0.4,0.0,1.0,0.5,218.72,215.76,49,10
100018445,cargo,0.4,0.0,1.0,0.5,217.44,210.3,49,11
100014107,other,0.4,0.0,1.0,0.5,220.15,217.17,49,12
100015926,passenger,0.4,0.0,1.0,0.5,147.36,141.15,49,13
100017561,other,0.4,0.0,1.0,0.5,220.12,217.21,49,14
100013424,cargo,0.4,0.0,1.0,0.5,218.69,215.99,49,15
100012156,passenger,0.4,0.0,1.0,0.5,218.72,215.76,49,16
100011317,other,0.4,0.0,1.0,0.5,150.22,142.09,49,17
100010919,fishing,0.4,0.0,1.0,0.5,218.6,204.12,49,18
100009539,fishing,0.4,0.0,1.0,0.5,147.53,141.83,49,19
100000135,tanker,0.2616,0.3232,0.0,0.5,11.32,8.31,49,20
100009468,tanker,0.1,0.0,0.0,0.5,212.08,209.38,49,21
100007862,other,0.1,0.0,0.0,0.5,212.45,209.49,49,22
100005810,passenger,0.1,0.0,0.0,0.5,212.45,209.49,49,23
100006152,passenger,0.1,0.0,0.0,0.5,198.02,194.97,49,24
100001584,passenger,0.1,0.0,0.0,0.5,227.31,224.35,49,25
100003536,tanker,0.1,0.0,0.0,0.5,227.31,224.35,49,26
100004564,passenger,0.1,0.0,0.0,0.5,212.45,209.49,49,27
100002407,cargo,0.1,0.0,0.0,0.5,212.45,209.49,49,28
100008322,passenger,0.1,0.0,0.0,0.5,212.45,209.49,49,29
100010479,other,0.1,0.0,0.0,0.5,227.31,224.35,49,30
100011486,fishing,0.1,0.0,0.0,0.5,212.08,209.38,49,31
100012392,fishing,0.1,0.0,0.0,0.5,226.51,223.56,49,32
100013965,fishing,0.1,0.0,0.0,0.5,212.45,209.49,49,33
100014388,tanker,0.1,0.0,0.0,0.5,166.52,163.36,49,34
100015982,tanker,0.1,0.0,0.0,0.5,212.08,209.38,49,35
